,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,days_birth,days_employed,work_phone,home_phone,email,occup_type,family_size,begin_month,credit
117,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-10559,-429,1,1,0,Drivers,2.0,-35.0,2.0
118,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22991,0,0,0,0,No job,1.0,-6.0,2.0
119,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,-15333,-196,0,1,0,Managers,2.0,-23.0,0.0
120,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12640,-399,0,0,0,Accountants,3.0,-29.0,2.0
121,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13591,-3246,0,0,0,Sales staff,3.0,-46.0,2.0
122,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24367,0,0,0,0,No job,2.0,-2.0,0.0
123,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,0,1,0,No job,2.0,-39.0,2.0
124,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,-11917,-1680,1,0,0,Laborers,3.0,-15.0,0.0
125,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,0,0,1,Core staff,3.0,-12.0,2.0
126,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-22456,-1934,0,1,0,Managers,2.0,-11.0,2.0
127,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-1071,0,0,1,Core staff,2.0,-45.0,2.0
128,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10351,-1322,0,0,0,No job,2.0,-8.0,2.0
129,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,0,1,0,Medicine staff,2.0,-7.0,2.0
130,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,-14136,-7400,1,1,0,Managers,2.0,-6.0,1.0
131,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-12681,-709,0,0,0,Sales staff,2.0,-11.0,1.0
132,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14496,-808,0,1,0,No job,2.0,-26.0,2.0
133,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12974,-2379,0,0,0,Laborers,4.0,-49.0,1.0
134,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,-11900,-2828,0,0,0,Laborers,3.0,-41.0,2.0
135,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15344,-314,0,0,0,Drivers,2.0,-33.0,2.0
136,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,-10597,-574,1,0,0,Medicine staff,1.0,-35.0,2.0
137,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,-18868,-10993,1,0,0,No job,2.0,-46.0,2.0
138,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20362,0,0,0,0,No job,2.0,-35.0,2.0
139,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,0,0,0,Laborers,2.0,-38.0,2.0
140,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,0,0,0,No job,4.0,-44.0,2.0
141,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,-10756,-2355,0,0,0,Core staff,3.0,-39.0,2.0
142,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,-17136,-1266,0,0,0,Sales staff,3.0,-11.0,2.0
143,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,-13465,-839,0,1,0,Managers,4.0,-33.0,0.0
144,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,0,0,Managers,2.0,-60.0,2.0
145,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22044,0,0,0,0,No job,2.0,-24.0,2.0
146,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-20815,-829,0,0,1,Security staff,2.0,-3.0,1.0
147,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,-21017,-895,1,1,0,No job,2.0,-4.0,1.0
148,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21596,0,0,1,0,No job,1.0,-15.0,2.0
149,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15980,-119,1,1,0,Drivers,2.0,-14.0,2.0
150,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-14077,-3792,0,0,0,No job,2.0,-3.0,1.0
151,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,0,1,1,Core staff,3.0,-60.0,2.0
152,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15499,-869,0,0,0,Private service staff,2.0,-2.0,0.0
153,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-8091,0,0,0,No job,3.0,-49.0,1.0
154,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23086,0,0,0,0,No job,2.0,-19.0,0.0
155,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-10755,-1040,0,0,1,Sales staff,2.0,-15.0,2.0
156,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10705,-1376,0,0,0,Drivers,2.0,-2.0,1.0
157,F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,-17940,-9957,1,0,0,Managers,2.0,-26.0,2.0
158,F,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,0,0,0,No job,1.0,-22.0,1.0
159,M,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20288,0,0,0,0,No job,2.0,-12.0,2.0
160,F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,-20791,-4814,1,1,0,Managers,1.0,-58.0,2.0
161,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20718,0,0,0,0,No job,2.0,-5.0,0.0
162,F,N,Y,2,67500.0,Working,Higher education,Married,House / apartment,-10281,-961,1,0,0,No job,4.0,-12.0,0.0
163,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22861,0,0,1,0,No job,2.0,-42.0,1.0
164,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Office apartment,-15092,-995,0,0,1,Drivers,2.0,-46.0,2.0
165,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803,-2227,1,1,0,Cleaning staff,1.0,-49.0,2.0
166,F,Y,Y,0,216000.0,Working,Higher education,Married,House / apartment,-18529,-1809,0,0,0,Secretaries,2.0,-10.0,2.0
167,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,0,0,0,Laborers,3.0,-4.0,1.0
168,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20027,0,0,0,0,No job,1.0,-26.0,0.0
169,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,0,0,0,No job,2.0,-44.0,2.0
170,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23262,0,0,1,0,No job,1.0,-13.0,0.0
171,F,N,N,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21310,0,0,0,0,No job,2.0,-28.0,2.0
172,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2.0,-14.0,2.0
173,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16224,-2574,0,0,0,Security staff,2.0,-22.0,0.0
174,M,Y,N,1,252000.0,State servant,Higher education,Married,House / apartment,-12483,-1650,1,1,0,High skill tech staff,3.0,-19.0,1.0
175,F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10981,-552,0,0,0,Laborers,2.0,-5.0,2.0
176,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-9889,-2289,0,0,0,Managers,2.0,-36.0,2.0
177,M,N,Y,1,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11524,-2554,0,0,0,Sales staff,3.0,-49.0,2.0
178,F,N,Y,2,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-13077,-5394,1,0,0,Medicine staff,4.0,-26.0,1.0
179,F,N,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-658,0,1,0,Sales staff,4.0,-11.0,2.0
180,M,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-14646,-1953,0,0,0,Managers,2.0,-3.0,1.0
181,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-12322,-3717,0,0,0,Core staff,2.0,-10.0,1.0
182,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-14185,-4447,1,0,0,Core staff,2.0,-8.0,1.0
183,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11613,-4031,0,1,0,Laborers,2.0,-41.0,2.0
184,M,N,N,0,382500.0,Working,Secondary / secondary special,Married,Municipal apartment,-17254,-1207,1,1,0,Managers,2.0,-46.0,1.0
185,F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-16938,-673,0,0,0,Laborers,1.0,-28.0,2.0
186,M,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-11365,-2745,1,1,0,Core staff,2.0,-48.0,1.0
187,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,-14407,-1345,0,0,0,HR staff,1.0,-6.0,2.0
188,F,N,N,2,112500.0,State servant,Higher education,Married,House / apartment,-11604,-2721,0,0,1,Core staff,4.0,-3.0,0.0
189,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21383,0,0,1,0,No job,2.0,-18.0,2.0
190,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,0,0,0,Core staff,2.0,0.0,1.0
191,F,N,Y,0,315000.0,Commercial associate,Higher education,Separated,House / apartment,-17752,-2380,1,1,0,Accountants,1.0,-52.0,2.0
192,M,Y,Y,1,427500.0,Working,Higher education,Married,House / apartment,-15085,-354,0,0,0,Managers,3.0,-3.0,1.0
193,F,N,N,0,78750.0,Working,Secondary / secondary special,Married,With parents,-12104,-2045,1,0,0,Security staff,2.0,-13.0,2.0
194,F,N,N,0,67500.0,Pensioner,Higher education,Widow,House / apartment,-24081,0,0,0,0,No job,1.0,-30.0,0.0
195,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-22046,-2011,0,0,0,Laborers,2.0,-13.0,2.0
196,F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16898,-7310,1,1,0,Core staff,1.0,-42.0,2.0
197,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22283,0,0,0,0,No job,2.0,-45.0,1.0
