,gender,car,reality,income_total,income_type,edu_type,family_type,house_type,work_phone,home_phone,email,occup_type,family_size,begin_month,credit,days_unemployed,income_unemployed,Age,birth_month,birth_week,ages_employed,employ_month,employ_week,ages_unemployed,unemploy_month,unemploy_week,income_family
18,M,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,35,2.0,18097,9.946399955793778,54,1.0,3.0,4,10.0,2.0,49,3.0,1.0,90000.0
19,F,N,N,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,22,0.0,13841,11.379235604363847,41,2.0,3.0,3,9.0,1.0,37,5.0,1.0,78750.0
20,M,Y,N,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,No job,2.0,18,2.0,14098,15.959710597247836,39,4.0,1.0,1,2.0,3.0,38,1.0,2.0,112500.0
21,M,Y,N,135000.0,Working,Higher education,Married,House / apartment,1,0,0,Laborers,3.0,13,2.0,14490,9.316770186335404,48,6.0,1.0,9,3.0,3.0,39,3.0,2.0,45000.0
22,M,Y,Y,405000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,57,2.0,13809,29.328698674777318,47,0.0,0.0,9,8.0,0.0,37,4.0,0.0,202500.0
23,M,Y,N,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,1,1,0,Drivers,2.0,47,2.0,19786,5.685838471646619,60,5.0,2.0,6,5.0,0.0,54,11.0,2.0,56250.0
24,F,N,Y,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,0,1,0,Sales staff,2.0,22,0.0,10306,11.789248981176014,32,4.0,0.0,4,9.0,0.0,28,7.0,0.0,60750.0
25,M,Y,N,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,33,2.0,12961,17.359771622559986,36,7.0,0.0,0,7.0,0.0,35,0.0,3.0,112500.0
26,M,Y,Y,135000.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,Laborers,2.0,18,0.0,8310,16.24548736462094,32,8.0,0.0,9,7.0,1.0,22,1.0,3.0,67500.0
27,F,N,Y,135000.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,2.0,2,0.0,11671,11.567132208037014,36,11.0,3.0,4,6.0,0.0,31,5.0,3.0,67500.0
28,M,N,Y,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,High skill tech staff,2.0,30,2.0,18854,10.740426434708816,52,4.0,2.0,0,11.0,1.0,51,4.0,1.0,101250.0
29,F,Y,N,225000.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Managers,2.0,20,2.0,12005,18.74219075385256,39,1.0,2.0,6,9.0,3.0,32,4.0,3.0,112500.0
30,F,Y,N,225000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,Accountants,1.0,14,2.0,19178,11.732193137970592,55,1.0,1.0,2,10.0,2.0,52,3.0,3.0,225000.0
31,M,Y,Y,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Drivers,2.0,8,2.0,15007,38.98180848937162,45,3.0,3.0,4,6.0,3.0,41,8.0,3.0,292500.0
32,F,N,Y,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,41,2.0,10110,20.02967359050445,37,8.0,0.0,9,7.0,0.0,27,1.0,0.0,101250.0
33,M,Y,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,39,2.0,11422,9.849413412712309,35,2.0,0.0,4,5.0,0.0,31,8.0,3.0,28125.0
34,M,Y,Y,90900.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,21,1.0,19274,4.716197986925391,59,3.0,0.0,6,8.0,2.0,52,6.0,1.0,45450.0
35,F,N,Y,99000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,4.0,19,2.0,12319,8.036366588197094,34,5.0,1.0,1,2.0,1.0,33,2.0,3.0,24750.0
36,M,N,N,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,3.0,35,0.0,9389,28.75705612951326,27,7.0,0.0,1,6.0,3.0,25,0.0,1.0,90000.0
37,F,N,N,67500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,8,1.0,8087,8.346729318659577,27,8.0,3.0,5,2.0,0.0,22,5.0,3.0,33750.0
38,M,N,N,247500.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Drivers,2.0,26,2.0,14926,16.5818035642503,41,0.0,0.0,0,6.0,0.0,40,5.0,0.0,123750.0
39,M,Y,N,405000.0,Working,Higher education,Married,House / apartment,1,1,0,High skill tech staff,2.0,4,0.0,15455,26.205111614364284,51,9.0,1.0,8,10.0,1.0,42,11.0,3.0,202500.0
40,F,N,N,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,No job,1.0,24,2.0,21100,6.398104265402844,57,7.0,2.0,0,0.0,0.0,57,7.0,2.0,135000.0
41,F,Y,Y,292500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Sales staff,2.0,48,2.0,14927,19.59536410531252,50,1.0,1.0,9,8.0,1.0,40,5.0,0.0,146250.0
42,F,N,Y,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,4,2.0,23585,4.197583209667162,64,6.0,1.0,0,0.0,0.0,64,6.0,1.0,49500.0
43,F,N,Y,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,12,2.0,16848,34.72222222222222,51,4.0,2.0,5,7.0,3.0,46,9.0,2.0,292500.0
44,M,Y,Y,495000.0,Working,Incomplete higher,Married,With parents,0,0,1,Drivers,2.0,10,2.0,7816,63.33162743091095,24,9.0,1.0,3,0.0,1.0,21,8.0,0.0,247500.0
45,F,N,Y,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,37,2.0,24044,2.2458825486607887,65,9.0,2.0,0,0.0,0.0,65,9.0,2.0,27000.0
46,F,N,N,99000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,3.0,2,1.0,15204,6.511444356748224,42,4.0,0.0,1,2.0,0.0,41,2.0,0.0,33000.0
47,F,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,24,2.0,10846,16.5959800848239,37,5.0,3.0,8,4.0,2.0,29,1.0,1.0,90000.0
48,F,Y,Y,130500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,29,2.0,6746,19.344796916691372,44,9.0,1.0,25,1.0,1.0,18,8.0,3.0,65250.0
49,F,N,Y,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1.0,3,1.0,16389,13.72872048325096,46,3.0,1.0,1,9.0,3.0,44,6.0,1.0,225000.0
50,F,N,Y,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,23,2.0,23334,6.1712522499357165,63,9.0,1.0,0,0.0,0.0,63,9.0,1.0,72000.0
51,F,N,Y,360000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,No job,2.0,25,2.0,22985,15.662388514248423,62,10.0,3.0,0,0.0,0.0,62,10.0,3.0,180000.0
52,M,Y,Y,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,No job,1.0,1,1.0,21397,5.257746413048558,58,5.0,0.0,0,0.0,0.0,58,5.0,0.0,112500.0
53,M,Y,N,270000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,15,2.0,10002,26.994601079784044,31,7.0,0.0,3,9.0,3.0,27,9.0,0.0,90000.0
54,F,Y,Y,225000.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2.0,40,1.0,14249,15.790581795213699,47,4.0,2.0,8,9.0,2.0,39,6.0,3.0,112500.0
55,M,Y,Y,315000.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2.0,21,2.0,12249,25.71638501102131,42,3.0,2.0,9,3.0,0.0,33,0.0,1.0,157500.0
56,M,Y,N,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Security staff,1.0,32,2.0,8331,8.102268635217861,24,1.0,0.0,1,11.0,2.0,22,1.0,2.0,67500.0
57,F,N,Y,40500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2.0,10,2.0,7793,5.196971641216476,34,4.0,2.0,13,8.0,1.0,21,7.0,1.0,20250.0
58,M,N,Y,144000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,4,1.0,10978,13.11714337766442,37,2.0,1.0,7,8.0,1.0,30,5.0,0.0,48000.0
59,F,N,Y,157500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4.0,2,1.0,10919,14.424397838629911,33,8.0,1.0,3,4.0,1.0,29,3.0,3.0,39375.0
60,F,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,14,1.0,8699,20.692033567076674,28,7.0,0.0,4,5.0,2.0,23,1.0,2.0,90000.0
61,F,N,Y,157500.0,Working,Higher education,Married,House / apartment,0,0,1,Medicine staff,2.0,59,2.0,12493,12.607059953574002,42,11.0,0.0,8,2.0,0.0,34,8.0,0.0,78750.0
62,M,N,Y,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,1,0,Laborers,1.0,39,2.0,7946,10.193808205386357,27,5.0,2.0,5,4.0,3.0,21,0.0,3.0,81000.0
63,M,Y,N,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,54,2.0,12117,16.712057439960386,43,2.0,0.0,10,6.0,1.0,33,7.0,3.0,50625.0
64,F,N,N,351000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,No job,2.0,4,2.0,20493,17.127799736495387,59,11.0,2.0,2,0.0,2.0,56,11.0,3.0,175500.0
65,F,N,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,34,2.0,23269,7.73561390691478,63,7.0,0.0,0,0.0,0.0,63,7.0,0.0,90000.0
66,F,N,Y,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,3.0,25,2.0,10131,6.6627183891027535,28,9.0,2.0,0,7.0,3.0,27,1.0,3.0,22500.0
67,F,Y,Y,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,2.0,34,2.0,10153,31.02531271545356,42,5.0,0.0,15,3.0,1.0,27,2.0,2.0,157500.0
68,F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,No job,2.0,15,2.0,12971,24.28494333513222,37,7.0,0.0,1,7.0,3.0,35,0.0,1.0,157500.0
69,F,Y,Y,225000.0,Working,Higher education,Separated,House / apartment,0,0,0,Core staff,2.0,2,0.0,13144,17.118076688983567,40,1.0,0.0,4,7.0,2.0,36,6.0,1.0,112500.0
70,F,N,Y,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,2,1.0,17650,14.022662889518413,48,7.0,3.0,0,7.0,2.0,48,0.0,1.0,123750.0
71,M,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Sales staff,2.0,0,0.0,9352,14.43541488451668,28,7.0,1.0,2,8.0,1.0,25,11.0,0.0,67500.0
72,F,Y,Y,216000.0,Working,Higher education,Civil marriage,House / apartment,0,0,1,Accountants,2.0,53,2.0,13851,15.594541910331383,41,5.0,2.0,3,11.0,3.0,37,5.0,2.0,108000.0
73,F,N,N,180000.0,Working,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4.0,38,1.0,10205,17.63841254287114,32,0.0,0.0,4,8.0,2.0,27,4.0,1.0,45000.0
74,M,Y,Y,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,27,2.0,23563,5.729321393710478,64,5.0,2.0,0,0.0,0.0,64,5.0,2.0,67500.0
75,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,1,1,Core staff,1.0,56,2.0,13035,20.713463751438436,36,10.0,3.0,0,7.0,1.0,35,2.0,2.0,270000.0
76,F,Y,Y,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,45,2.0,14985,24.024024024024023,55,8.0,0.0,14,0.0,3.0,41,7.0,0.0,180000.0
77,M,N,N,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,Managers,2.0,59,2.0,10320,43.604651162790695,39,2.0,2.0,11,6.0,0.0,28,8.0,2.0,225000.0
78,F,N,Y,45000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2.0,30,2.0,10796,4.16821044831419,55,1.0,1.0,25,1.0,3.0,29,11.0,2.0,22500.0
79,F,Y,Y,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2.0,20,2.0,15756,12.852246763137853,51,0.0,1.0,8,3.0,2.0,43,9.0,2.0,101250.0
80,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,5,2.0,11499,11.74015131750587,33,10.0,1.0,1,11.0,2.0,31,11.0,2.0,45000.0
81,F,N,Y,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,1.0,22,1.0,15424,13.128890041493776,52,11.0,1.0,9,0.0,2.0,42,10.0,3.0,202500.0
82,F,N,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,26,2.0,23770,7.572570466975179,65,0.0,3.0,0,0.0,0.0,65,0.0,3.0,90000.0
83,M,N,Y,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,14,2.0,16081,4.953050183446303,44,8.0,1.0,0,0.0,0.0,44,8.0,1.0,39825.0
84,M,N,Y,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2.0,56,2.0,21587,20.84587946449252,64,9.0,2.0,5,9.0,2.0,59,11.0,3.0,225000.0
85,M,Y,Y,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Drivers,2.0,46,2.0,8161,19.299105501776744,25,0.0,3.0,3,4.0,1.0,22,8.0,1.0,78750.0
86,M,Y,Y,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,1,Sales staff,1.0,5,2.0,10249,43.906722607083616,29,1.0,0.0,1,7.0,0.0,28,5.0,0.0,450000.0
87,F,N,N,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,0,1,1,Medicine staff,1.0,35,2.0,7031,38.40136538188025,53,9.0,2.0,33,3.0,1.0,19,6.0,0.0,270000.0
88,F,N,Y,135000.0,Working,Higher education,Married,House / apartment,0,0,0,Private service staff,2.0,9,2.0,13621,9.91116658101461,60,5.0,2.0,23,7.0,1.0,37,10.0,1.0,67500.0
89,F,N,Y,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2.0,2,1.0,16615,4.875112849834487,53,7.0,0.0,8,5.0,3.0,45,1.0,1.0,40500.0
90,F,N,N,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,12,2.0,11665,11.573081868838406,33,0.0,0.0,1,8.0,2.0,31,4.0,2.0,45000.0
91,M,Y,N,315000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,12,2.0,12105,26.022304832713754,43,11.0,0.0,10,4.0,3.0,33,7.0,1.0,157500.0
92,M,Y,Y,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,1,0,Sales staff,1.0,7,0.0,13457,16.719922716801666,43,5.0,0.0,6,0.0,2.0,36,4.0,2.0,225000.0
93,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,5,2.0,7378,18.29764163730008,27,8.0,2.0,7,2.0,0.0,20,5.0,2.0,67500.0
94,F,N,N,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,No job,3.0,47,2.0,14159,6.356381100360195,44,9.0,2.0,5,5.0,3.0,38,3.0,2.0,30000.0
95,F,Y,N,306000.0,Working,Higher education,Married,House / apartment,0,0,0,No job,3.0,4,1.0,7632,40.094339622641506,25,10.0,2.0,4,7.0,3.0,20,2.0,2.0,102000.0
96,F,N,Y,153000.0,Working,Higher education,Single / not married,House / apartment,0,1,0,Core staff,1.0,22,2.0,10079,15.180077388629824,29,10.0,1.0,1,10.0,1.0,27,11.0,3.0,153000.0
97,F,N,Y,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2.0,13,2.0,20577,6.123341594984692,62,4.0,2.0,6,2.0,3.0,56,1.0,3.0,63000.0
98,M,Y,Y,315000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,2.0,57,2.0,12682,24.8383535719918,35,8.0,3.0,0,5.0,3.0,34,2.0,3.0,157500.0
99,M,Y,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3.0,44,2.0,13804,16.2996232975949,44,11.0,2.0,6,7.0,2.0,37,4.0,0.0,75000.0
100,F,N,N,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Laborers,1.0,4,2.0,17625,10.97872340425532,48,6.0,2.0,0,6.0,0.0,48,11.0,1.0,193500.0
101,F,N,Y,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,4.0,36,1.0,16246,5.53982518773852,47,3.0,3.0,3,1.0,2.0,44,1.0,0.0,22500.0
102,M,Y,Y,135000.0,Working,Higher education,Married,House / apartment,0,0,1,Managers,4.0,43,2.0,8620,15.661252900232018,31,1.0,0.0,8,2.0,0.0,23,11.0,3.0,33750.0
103,F,N,N,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,49,2.0,20920,3.87189292543021,57,1.0,0.0,0,0.0,0.0,57,1.0,0.0,40500.0
104,F,Y,Y,382500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,11,2.0,11566,33.07107037869618,39,9.0,1.0,7,7.0,1.0,31,1.0,0.0,127500.0
105,F,N,Y,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,27,2.0,15499,13.065359055422931,44,11.0,2.0,1,10.0,0.0,42,0.0,2.0,101250.0
106,F,N,Y,112500.0,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2.0,47,2.0,12503,8.997840518275614,50,8.0,0.0,15,11.0,2.0,34,8.0,2.0,56250.0
107,F,N,Y,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Cooking staff,4.0,0,1.0,10539,13.663535439795046,33,5.0,2.0,5,1.0,0.0,28,3.0,1.0,36000.0
108,F,N,Y,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No job,1.0,4,1.0,21497,7.3266037121458805,58,8.0,3.0,0,0.0,0.0,58,8.0,3.0,157500.0
109,F,N,N,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,0,Sales staff,2.0,35,2.0,6653,21.64437096046896,45,2.0,1.0,27,8.0,2.0,18,5.0,2.0,72000.0
110,F,Y,Y,283500.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,4.0,39,2.0,8782,32.281940332498294,35,10.0,3.0,11,5.0,0.0,24,4.0,2.0,70875.0
111,F,N,Y,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2.0,48,2.0,13205,15.335100340780007,53,11.0,3.0,17,3.0,1.0,36,8.0,2.0,101250.0
112,F,Y,Y,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,4.0,55,2.0,12168,7.396449704142012,42,1.0,1.0,9,3.0,3.0,33,9.0,2.0,22500.0
113,F,Y,N,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Laborers,2.0,45,2.0,6726,26.092774308652988,32,6.0,0.0,13,10.0,3.0,18,8.0,0.0,87750.0
114,M,Y,Y,360000.0,Commercial associate,Higher education,Married,House / apartment,0,1,1,Laborers,3.0,30,2.0,16127,22.322812674396975,45,11.0,2.0,1,1.0,2.0,44,9.0,3.0,120000.0
115,F,N,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,38,1.0,8520,13.204225352112676,37,2.0,3.0,14,6.0,1.0,23,8.0,1.0,37500.0
116,M,N,N,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,11,2.0,15788,19.951862173802887,48,8.0,1.0,4,10.0,1.0,43,10.0,3.0,105000.0
117,F,N,N,225000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,Drivers,2.0,35,2.0,10130,22.211253701875616,28,3.0,0.0,1,2.0,1.0,27,1.0,3.0,112500.0
118,F,Y,Y,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No job,1.0,6,2.0,22991,5.871862902875038,62,10.0,0.0,0,0.0,0.0,62,10.0,0.0,135000.0
119,M,Y,N,337500.0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,Managers,2.0,23,0.0,15137,22.296359912796458,42,7.0,2.0,0,6.0,0.0,41,0.0,2.0,168750.0
120,F,N,N,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Accountants,3.0,29,2.0,12241,18.380851237643984,34,1.0,1.0,1,1.0,1.0,33,0.0,0.0,75000.0
121,F,Y,Y,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,46,2.0,10345,21.749637506041566,37,9.0,1.0,8,0.0,3.0,28,8.0,1.0,75000.0
122,F,N,Y,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,2,0.0,24367,2.2161119546928223,66,8.0,1.0,0,0.0,0.0,66,8.0,1.0,27000.0
123,F,Y,N,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,39,2.0,12608,12.492068527918782,37,9.0,1.0,2,8.0,0.0,34,0.0,1.0,78750.0
124,M,Y,Y,180000.0,Working,Higher education,Married,With parents,1,0,0,Laborers,3.0,15,0.0,10237,17.583276350493307,32,1.0,2.0,4,8.0,0.0,28,5.0,2.0,60000.0
125,F,Y,Y,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,1,Core staff,3.0,12,2.0,7551,14.898688915375446,28,3.0,3.0,8,4.0,0.0,20,11.0,2.0,37500.0
126,M,Y,Y,360000.0,Working,Higher education,Married,House / apartment,0,1,0,Managers,2.0,11,2.0,20522,17.542149887925152,61,4.0,0.0,5,4.0,0.0,56,0.0,3.0,180000.0
127,F,Y,Y,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,2.0,45,2.0,12750,20.11764705882353,37,4.0,2.0,2,11.0,1.0,34,5.0,1.0,128250.0
128,F,Y,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,8,2.0,9029,19.935762542917267,28,9.0,2.0,3,8.0,0.0,24,0.0,1.0,90000.0
129,F,Y,N,202500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Medicine staff,2.0,7,2.0,7658,26.44293549229564,53,5.0,3.0,32,2.0,1.0,20,3.0,2.0,101250.0
130,F,N,N,247500.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,6,1.0,6736,36.74287410926366,38,3.0,3.0,20,6.0,1.0,18,8.0,2.0,123750.0
131,F,N,Y,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Sales staff,2.0,11,1.0,11972,13.155696625459406,34,2.0,3.0,1,11.0,1.0,32,3.0,2.0,78750.0
