,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,days_birth,days_employed,work_phone,home_phone,email,occup_type,family_size,begin_month,credit,CODE
96,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,23674,2087,0,0,0,Security staff,2.0,56,2.0,M-23674450000.0Commercial associate
97,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,9373,1212,0,0,0,Drivers,2.0,46,2.0,M-9373157500.0Working
98,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,10837,588,0,0,1,Sales staff,1.0,5,2.0,M-10837450000.0Commercial associate
99,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,19363,12332,0,1,1,Medicine staff,1.0,35,2.0,F-19363270000.0State servant
100,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,22112,8491,0,0,0,Private service staff,2.0,9,2.0,F-22112135000.0Working
101,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,19661,3046,1,1,0,Managers,2.0,2,1.0,F-1966181000.0Working
102,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12269,604,0,0,0,Managers,3.0,12,2.0,F-12269135000.0Commercial associate
103,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,Managers,2.0,12,2.0,M-15825315000.0Working
104,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,15994,2537,0,1,0,Sales staff,1.0,7,0.0,M-15994225000.0Commercial associate
105,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,9984,2606,0,0,0,Laborers,2.0,5,2.0,M-9984135000.0Commercial associate
106,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,16118,1959,0,1,0,No job,3.0,47,2.0,F-1611890000.0Working
107,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,9310,1678,0,0,0,No job,3.0,4,1.0,F-9310306000.0Working
108,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,10762,683,0,1,0,Core staff,1.0,22,2.0,F-10762153000.0Working
109,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,22811,2234,1,1,0,High skill tech staff,2.0,13,2.0,F-22811126000.0Working
110,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,12846,164,0,0,0,Managers,2.0,57,2.0,M-12846315000.0Commercial associate
111,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,16175,2371,0,0,0,Drivers,3.0,44,2.0,M-16175225000.0Working
112,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,17826,201,0,1,0,Laborers,1.0,4,2.0,F-17826193500.0Working
113,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17384,1138,0,0,0,Cooking staff,4.0,36,1.0,F-1738490000.0Commercial associate
114,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,11564,2944,0,0,1,Managers,4.0,43,2.0,M-11564135000.0Working
115,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20920,0,0,0,0,No job,2.0,49,2.0,F-2092081000.0Pensioner
116,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,14317,2751,0,0,0,Managers,3.0,11,2.0,F-14317382500.0Working
117,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16173,674,0,0,0,Sales staff,2.0,27,2.0,F-16173202500.0Commercial associate
118,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,18259,5756,0,1,0,Sales staff,2.0,47,2.0,F-18259112500.0Working
119,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,12393,1854,1,1,0,Cooking staff,4.0,0,1.0,F-12393144000.0Working
120,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21497,0,0,0,0,No job,1.0,4,1.0,F-21497157500.0Pensioner
121,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,16641,9988,1,1,0,Sales staff,2.0,35,2.0,F-16641144000.0Working
122,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,12902,4120,0,0,0,Core staff,4.0,39,2.0,F-12902283500.0State servant
123,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,19431,6226,0,0,0,High skill tech staff,2.0,48,2.0,F-19431202500.0Working
124,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15525,3357,0,0,0,Accountants,4.0,55,2.0,F-1552590000.0Commercial associate
125,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12483,4039,0,0,0,Managers,2.0,42,2.0,M-12483360000.0Commercial associate
126,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,11709,4983,0,0,0,Laborers,2.0,45,2.0,F-11709175500.0Commercial associate
127,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,16537,410,0,1,1,Laborers,3.0,30,2.0,M-16537360000.0Commercial associate
128,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,13741,5221,0,0,0,Laborers,3.0,38,1.0,F-13741112500.0Working
129,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,17537,1749,0,0,0,Laborers,3.0,11,2.0,M-17537315000.0Working
130,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,Laborers,1.0,1,0.0,F-15519297000.0Commercial associate
131,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,14228,5330,0,1,0,No job,2.0,33,0.0,F-14228202500.0Commercial associate
132,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,10559,429,1,1,0,Drivers,2.0,35,2.0,F-10559225000.0Commercial associate
133,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,13168,2574,0,0,0,Managers,3.0,22,2.0,F-13168387000.0Working
134,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,22991,0,0,0,0,No job,1.0,6,2.0,F-22991135000.0Pensioner
135,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,15333,196,0,1,0,Managers,2.0,23,0.0,M-15333337500.0Commercial associate
136,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,12640,399,0,0,0,Accountants,3.0,29,2.0,F-12640225000.0Commercial associate
137,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13591,3246,0,0,0,Sales staff,3.0,46,2.0,F-13591225000.0Commercial associate
138,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,24367,0,0,0,0,No job,2.0,2,0.0,F-2436754000.0Pensioner
139,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13590,982,0,1,0,No job,2.0,39,2.0,F-13590157500.0Commercial associate
140,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,11917,1680,1,0,0,Laborers,3.0,15,0.0,M-11917180000.0Working
141,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,10551,3000,0,0,1,Core staff,3.0,12,2.0,F-10551112500.0Commercial associate
142,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,22456,1934,0,1,0,Managers,2.0,11,2.0,M-22456360000.0Working
143,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13821,1071,0,0,1,Core staff,2.0,45,2.0,F-13821256500.0Commercial associate
144,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,10351,1322,0,0,0,No job,2.0,8,2.0,F-10351180000.0Working
145,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,19598,11940,0,1,0,Medicine staff,2.0,7,2.0,F-19598202500.0State servant
146,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,14136,7400,1,1,0,Managers,2.0,6,1.0,F-14136247500.0Working
147,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,12681,709,0,0,0,Sales staff,2.0,11,1.0,F-12681157500.0Working
148,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,14496,808,0,1,0,No job,2.0,26,2.0,M-14496225000.0Working
149,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,12974,2379,0,0,0,Laborers,4.0,49,1.0,F-12974112500.0Working
150,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,11900,2828,0,0,0,Laborers,3.0,41,2.0,F-11900157500.0Working
151,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15344,314,0,0,0,Drivers,2.0,33,2.0,M-15344360000.0Commercial associate
152,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,10597,574,1,0,0,Medicine staff,1.0,35,2.0,F-10597360000.0Working
153,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17975,3476,0,0,0,Drivers,2.0,32,1.0,M-17975180000.0Commercial associate
154,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,18868,10993,1,0,0,No job,2.0,46,2.0,F-18868175500.0Working
155,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20362,0,0,0,0,No job,2.0,35,2.0,F-2036290000.0Pensioner
156,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,16728,880,0,0,0,Laborers,2.0,38,2.0,M-16728135000.0Working
157,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,10087,1447,0,0,0,No job,4.0,44,2.0,M-10087157500.0Working
158,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,10756,2355,0,0,0,Core staff,3.0,39,2.0,M-10756202500.0State servant
159,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,21899,0,0,1,0,No job,2.0,51,1.0,F-21899153000.0Pensioner
160,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,17136,1266,0,0,0,Sales staff,3.0,11,2.0,F-1713672000.0Working
161,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,13465,839,0,1,0,Managers,4.0,33,0.0,M-13465360000.0Working
162,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,16409,2045,1,0,0,Managers,2.0,60,2.0,F-16409540000.0Working
163,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,22044,0,0,0,0,No job,2.0,24,2.0,F-22044155250.0Pensioner
164,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,20815,829,0,0,1,Security staff,2.0,3,1.0,M-20815189000.0Working
165,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,21017,895,1,1,0,No job,2.0,4,1.0,F-21017139500.0State servant
166,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21596,0,0,1,0,No job,1.0,15,2.0,F-21596495000.0Pensioner
167,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15980,119,1,1,0,Drivers,2.0,14,2.0,M-15980459000.0Commercial associate
168,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,19702,9870,1,1,0,No job,2.0,21,1.0,F-19702157500.0Working
169,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,14077,3792,0,0,0,No job,2.0,3,1.0,F-14077225000.0Working
170,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18173,678,0,1,1,Core staff,3.0,60,2.0,M-18173450000.0Commercial associate
171,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15499,869,0,0,0,Private service staff,2.0,2,0.0,F-15499135000.0Working
172,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,15812,8091,0,0,0,No job,3.0,49,1.0,M-15812135000.0Working
173,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23086,0,0,0,0,No job,2.0,19,0.0,F-23086189000.0Pensioner
174,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,10755,1040,0,0,1,Sales staff,2.0,15,2.0,F-10755225000.0Commercial associate
175,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,10705,1376,0,0,0,Drivers,2.0,2,1.0,M-10705112500.0Working
176,F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,17940,9957,1,0,0,Managers,2.0,26,2.0,F-17940315000.0State servant
